Timestamp,Age ,Gender  ,Marital_Status,Type_of_Family,Family_Size,Education_Level,Occupation,Family_Annual_Income,"Number_of_earning _members_in_the_family
(Including you)",With_whom_you_usually_spend_your_most_of_the_Leisure_time_with,What_are_reasons_for_the_same,TRAVEL,JOB_STUDY,HOUSEWORK,CALLING,CareOfHealth,MEALS,SOCIALMEDIA,SLEEP,ENTERTAINMENT,LEISURETIME,activities_in_a_regular_day,What_do_you_prefer_to_do_in_your_freetime,Your_Attitude_Toward_Life,Mental_Stability,Time_management,Passion_for_Living,Difficult_Interactions,Healthy_Life,Fullfill_your_enjoyments,Daily_Struggle,Social_Neighbourhood,Weekend_satisfaction,Promptness,Transport_facilities,Environment_in_your_Locality/Area,Unorthodox_family,Sufficient_Resources,Fulfilment_of_desires,High_Expectations_towards_life,Work/Study_Environment,Have_you_ever_considered_making_improvements_to_your_daily_routine,"Then_why_do_you_want_OR_don't_you_want_to_improve_your_daily_routine
(SHORT ANSWER)"
10/18/2023 0:47:29,27,Male,Single,Nuclear,3,Graduate,Private Sector,0-3 lakh,1,Friends,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Moral Support (encouragement that you give to somebody who is nervous or worried)",4,10,0.5,0.5,2,0.5,0.5,5,0.5,0.5,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Job / Work, Personal Hygiene","Social Media, Sleeping, Learning new things, Social Activities, Chatting, Music, Go for a walk, Swimming",4,5,3,3,3,3,3,3,3,3,4,4,4,2,4,3,5,4,No,For managing the time and to achieve precise goals
10/18/2023 2:20:49,27,Male,Single,Joint,5,Graduate,Private Sector,6-9 lakh,5,Friends,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Moral Support (encouragement that you give to somebody who is nervous or worried), Self motivation",2.5,10,2,1,0.5,1,1,6,1,0.5,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Job / Work, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Going for Walk (Friends, Family, etc), Family Time","Social Media, Family Time, Learning new things, Hangout with friends, Games (Mobile or Computer games), Playing Outdoor games, Personality Development, Just Relaxing (Resting), Music",4,3,2,5,1,5,5,3,3,4,5,1,3,1,5,5,5,5,Yes,Yes - I want to improve my daily routine to learn new things in the open world. 
10/18/2023 7:17:21,29,Female,Single,Nuclear,4,Graduate,Private Sector,above 15 lakh,3,Alone,"Refresh Mood, Privacy (just your alone time), Self motivation",1,11,1,1,2,0.5,0.25,7,0.25,2,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Studying, Reading Books, Job / Work, Cooking, Grocery Shopping, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Shopping (Clothes, Electronics, etc), Going for Walk (Friends, Family, etc), Creative Activities (Writing, Crafting, Photography, etc), Family Time, Gardening, Networking (Attending Social or Professional Events), Technolgy (Gadgets, Programming, etc)","Sleeping, Family Time, Reading Books, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Music",3,4,4,4,3,4,3,4,2,4,4,4,4,5,4,4,3,4,Yes,To get the most out of my day in the most efficient manner. The day also changes depending on how close my exam is and/or how my travel plans for next few weeks are.
10/18/2023 11:12:56,21,Male,Single,Joint,10,Graduate,Student,12-15 lakh,2,Colleagues,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment)",0.5,7,2,1,0.5,2,1,7,2,1,"Use Mobile, Reading Newspaper, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Grocery Shopping","Social Media, Sleeping, Learning new things, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Long Drive",4,4,4,4,5,5,3,3,4,1,3,3,4,4,4,4,4,4,Yes,"for my carrier and lifestyle, I want to do it"
10/18/2023 11:19:29,22,Male,Single,Nuclear,4,HSC,Student,0-3 lakh,2,Family,Refresh Mood,0.5,5,2,2,1,0.5,1,7,2,2,Use Mobile,"Sleeping, Music",5,5,5,5,5,5,5,2,1,1,3,2,2,2,2,2,2,2,Yes,"I'm recalibrating my routine to carve out space for learning, wellness practices, and personal fulfillment."
10/18/2023 11:49:13,21,Female,Single,Nuclear,4,Post Graduate,Student,6-9 lakh,1,Family,"Quality Time (for some enjoyment), Privacy (just your alone time)",4,8,2,0,2,1,1,6,1,1,"Use Mobile, Travel, Reading Newspaper, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Job / Work, Cooking, Grocery Shopping, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Going for Walk (Friends, Family, etc), Family Time","Social Media, Sleeping, Family Time, Just Relaxing (Resting), Go for a walk",5,5,4,5,3,4,4,4,2,4,5,3,4,1,4,4,5,4,Yes,Better time management and day to day completion of tasks
10/18/2023 11:52:17,47,Male,Married,Nuclear,4,Graduate,Private Sector,3-6 lakh,1,Colleagues,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment)",2,10,1,1,1,1,1,6,1,1,"Use Mobile, Job / Work, Cooking","Social Media, Sleeping, Family Time, Hangout with friends",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Yes,"Reconstructing my routine signifies creating a foundation for self-growth, balance, and embracing life's joys."
10/18/2023 12:22:22,23,Female,Single,Nuclear,4,Post Graduate,Private Sector,3-6 lakh,3,Friends,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment)",2,9,1,0.5,1,1.5,2,6,1,1,"Use Mobile, Watching (T.V. /Reels/Movies), Cooking, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap, Shopping (Clothes, Electronics, etc), Family Time","Social Media, Sleeping, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Just Relaxing (Resting)",2,2,2,2,3,2,2,3,2,2,3,3,3,3,3,3,3,3,Yes,Tried multiple times but couldn’t succeed 
10/18/2023 12:54:56,24,Male,Single,Nuclear,4,Graduate,Private Sector,above 15 lakh,2,Family,Reduce Anxiety,2,12,0,0.5,0.5,1,1,7,0,1,"Use Mobile, Travel, Exercise(Gym/Yoga /etc), Spiritual Activity, Studying, Job / Work, Personal Hygiene, Idle Time, Animal Care, Volunteer Work or Community Involvement","Family Time, Learning new things",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Yes,Yes - want to give more time to learn new things 
10/18/2023 13:03:23,23,Female,Single,Nuclear,4,Graduate,Private Sector,above 15 lakh,2,Friends,"Refresh Mood, Quality Time (for some enjoyment), Moral Support (encouragement that you give to somebody who is nervous or worried)",0,8,1,4,1,2,2,6,2,2,"Use Mobile, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Job / Work, Shopping (Clothes, Electronics, etc), Going for Walk (Friends, Family, etc), Creative Activities (Writing, Crafting, Photography, etc), Family Time","Social Media, Family Time, Hangout with friends, Creative Work (Crafting, Photography, etc), Social Activities, Chatting, Music, Go for a walk, Swimming",4,4,3,5,2,4,4,4,4,5,3,2,4,2,4,4,5,4,Yes,better time management and to make more time for development 
10/18/2023 13:03:49,22,Female,Single,Nuclear,4,Graduate,Private Sector,6-9 lakh,3,Friends,"Refresh Mood, Quality Time (for some enjoyment), Moral Support (encouragement that you give to somebody who is nervous or worried), Self motivation",1,9,1.5,0.5,1,1,2,8,1.5,2,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Reading Books, Job / Work, Creative Activities (Writing, Crafting, Photography, etc), Family Time","Social Media, Learning new things, Hangout with friends, Games (Mobile or Computer games), Personality Development, Long Drive, Social Activities, Chatting, Go for a walk",5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,Yes,I have a strong passion towards living a good life that’s why why
10/18/2023 13:05:56,27,Male,Single,Nuclear,4,Post Graduate,Private Sector,6-9 lakh,3,Colleagues,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Moral Support (encouragement that you give to somebody who is nervous or worried), Self motivation",1,9,0,1,1,1,2,6,2,1,"Use Mobile, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Job / Work, Family Time","Social Media, Learning new things, Hangout with friends, Playing Outdoor games, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content)",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Yes,"It's about remodeling my daily habits to prioritize self-care, skill development, and a more fulfilling life."
10/18/2023 13:07:21,23,Male,Single,Nuclear,4,Post Graduate,Student,3-6 lakh,2,Friends,"Refresh Mood, Quality Time (for some enjoyment)",2,6,1,1.5,2,2,2,6,2,1,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Grocery Shopping, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap, Creative Activities (Writing, Crafting, Photography, etc), Family Time","Social Media, Sleeping, Family Time, Just Relaxing (Resting), Go for a walk",4,4,2,2,2,2,3,2,3,3,2,1,3,2,3,3,3,1,Yes,"I'm redesigning my routine to include mindfulness practices, creative outlets, and fostering deeper connections."
10/18/2023 13:36:00,25,Male,Single,Nuclear,4,Graduate,Private Sector,above 15 lakh,2,Alone,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment)",1,8,0.5,0.5,1,2,2,6,2,0.5,"Use Mobile, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Studying, Reading Books, Job / Work, Review Goals","Social Media, Sleeping, Family Time, Learning new things, Games (Mobile or Computer games), Personality Development, Long Drive, Music",3,1,1,1,5,4,1,3,4,3,2,4,2,2,4,2,5,1,Yes,I want to improve everything in my life
10/18/2023 13:38:24,27,Male,Single,Nuclear,5,Graduate,Private Sector,above 15 lakh,3,Family,Reduce Anxiety,0.75,8,1,0.25,0.5,0.5,1,8,1,2,"Use Mobile, Travel, Reading Newspaper, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Studying, Reading Books, Job / Work, Grocery Shopping, Personal Hygiene, Idle Time, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap, Review Goals, Shopping (Clothes, Electronics, etc), Going for Walk (Friends, Family, etc), Family Time, Gardening, Networking (Attending Social or Professional Events), Technolgy (Gadgets, Programming, etc)","Learning new things, Games (Mobile or Computer games), Just Relaxing (Resting), Swimming",4,4,3,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,Yes,To keep up mental and physical health.
10/18/2023 14:09:59,21,Male,Single,Nuclear,4,Graduate,Private Sector,3-6 lakh,3,Colleagues,"Refresh Mood, Reduce Anxiety, Moral Support (encouragement that you give to somebody who is nervous or worried)",0.5,9,0.5,1,0,0.5,2,7,1,1,"Use Mobile, Watching (T.V. /Reels/Movies), Job / Work","Social Media, Family Time, Hangout with friends, Music",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Yes,"Revamping my routine means crafting a day that nurtures my passions, encourages growth, and supports well-being."
10/18/2023 17:07:00,29,Female,Single,Nuclear,6,Post Graduate,Private Sector,6-9 lakh,3,Alone,Privacy (just your alone time),2,7,2,1,1,1,0.5,6,1,1,"Travel, Job / Work, Grocery Shopping, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap, Review Goals, Creative Activities (Writing, Crafting, Photography, etc), Family Time","Sleeping, Family Time, Learning new things, Playing Outdoor games, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Personality Development, Creative Work (Crafting, Photography, etc), Long Drive, Just Relaxing (Resting), Music, Writing",4,4,4,4,1,4,5,1,3,4,5,3,4,1,5,4,3,4,Yes,"There's always a scope of an improvement, would love to focus more on health and fitness."
10/18/2023 22:21:49,27,Female,Single,Joint,5,Post Graduate,Private Sector,above 15 lakh,4,Family,Quality Time (for some enjoyment),0,8,4,0,0.25,1,1,8,0,1,"Reading Newspaper, Watching (T.V. /Reels/Movies), Studying, Cooking, Family Time",Sleeping,2,2,2,2,3,1,2,2,2,2,2,1,1,1,3,1,2,1,Yes,"I'm recalibrating my routine to create a balance between work, hobbies, and personal development."
10/19/2023 0:13:19,23,Female,Single,Nuclear,5,"Professional course (Diploma, ITI, etc.)",Private Sector,above 15 lakh,2,Family,Quality Time (for some enjoyment),1,8.75,0.25,0.5,2,0.75,0.25,7.5,1,2,"Use Mobile, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Reading Books, Job / Work, Cooking, Personal Hygiene, Idle Time, Review Goals, Family Time","Social Media, Family Time, Learning new things, Hangout with friends, Reading Books, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Just Relaxing (Resting), Chatting, Music, Writing",5,5,4,5,1,5,5,3,4,5,5,3,4,2,5,5,5,5,Yes,"There is a scope to improve and make sure to give more time to your family and friends, plus me time is very important so I try to take out few extra minutes if I can. And if I have time I can learn new activities "
10/19/2023 11:04:11,22,Male,Single,Joint,6,Post Graduate,Student,3-6 lakh,3,Partner,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Moral Support (encouragement that you give to somebody who is nervous or worried)",5,6,1.5,0.5,0.5,1,2,6,1,2,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Reading Books, Job / Work, Creative Activities (Writing, Crafting, Photography, etc), Family Time, Technolgy (Gadgets, Programming, etc)","Social Media, Family Time, Reading Books, Games (Mobile or Computer games), Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Chatting, Music, Writing",4,3,4,3,1,4,4,3,3,4,3,2,5,1,3,3,2,3,Yes,I want to improve my daily routin because i spend much time on travelling 
10/19/2023 17:17:10,21,Male,Single,Nuclear,4,Post Graduate,Student,3-6 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment)",2,4,2,0.5,1,1,1,8,1,2,"Use Mobile, Travel, Studying, Reading Books, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Review Goals, Family Time, Technolgy (Gadgets, Programming, etc)","Social Media, Family Time, Reading Books, Playing Outdoor games, Just Relaxing (Resting), Music, Go for a walk",4,4,4,4,3,4,4,3,4,4,3,3,3,1,3,3,3,3,Yes,"Improving my routine involves creating a day that fosters personal growth, balance, and joyful experiences."
10/19/2023 17:32:26,23,Female,Single,Nuclear,4,Graduate,Private Sector,12-15 lakh,3,Friends,"Refresh Mood, Quality Time (for some enjoyment), Moral Support (encouragement that you give to somebody who is nervous or worried)",4,8,2,1,0.5,1.5,1,6,0,4,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Reading Books, Going for Walk (Friends, Family, etc), Technolgy (Gadgets, Programming, etc)","Sleeping, Family Time, Learning new things, Hangout with friends, Personality Development, Long Drive, Music, Writing, Go for a walk",3,2,3,2,4,4,4,3,2,4,4,4,4,4,4,4,4,4,No,I'm used to my current rhythm.
10/19/2023 18:23:08,20,Male,Single,Joint,7,Graduate,Student,3-6 lakh,4,Alone,timepass,4,6,0,1,0,1,2,8,1,2,"Use Mobile, Travel, Idle Time, Technolgy (Gadgets, Programming, etc), mobile games insta","Social Media, Sleeping, Games (Mobile or Computer games)",2,2,1,1,5,2,1,1,1,1,1,2,3,4,5,3,3,2,No,iam lazy
10/19/2023 18:28:31,20,Male,Single,Joint,7,Graduate,Student,3-6 lakh,4,Alone,Quality Time (for some enjoyment),3,4,0,1,0,1,2,7,2,3,"Use Mobile, Watching (T.V. /Reels/Movies), Idle Time, Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Games (Mobile or Computer games)",2,2,2,2,3,2,3,3,2,3,2,5,3,4,4,4,2,2,No,iam lazy and don�t want to do it
10/19/2023 19:04:52,19,Male,Single,Nuclear,4,HSC,Student,0-3 lakh,1,Friends,Refresh Mood,1,2,2,1,1,1,3,7,2,2,"Use Mobile, Travel, Watching (T.V. /Reels/Movies)",Playing Outdoor games,1,5,4,3,3,4,4,3,3,4,2,2,4,3,2,3,2,2,Yes,For myself 
10/19/2023 19:07:54,24,Male,Single,Nuclear,2,Graduate,Private Sector,6-9 lakh,2,Partner,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Privacy (just your alone time), Self motivation",3,9,0,2,1.5,1,2,7,0.5,0.5,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Job / Work, Personal Hygiene, Idle Time, Shopping (Clothes, Electronics, etc)","Social Media, Learning new things, Hangout with friends, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Just Relaxing (Resting), Social Activities, Chatting, Music, Go for a walk",4,4,2,4,3,5,5,5,4,4,3,1,3,3,4,4,5,4,Yes,"Yes, want to develop a hobby and also also some sort of business of my own."
10/19/2023 23:47:21,20,Female,Single,Nuclear,5,Graduate,Student,0-3 lakh,2,Alone,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Privacy (just your alone time)",3,6.75,2,2,0.25,1,2,6,0.5,0.5,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Spiritual Activity, Studying, Reading Books, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Animal Care, Power Nap, Family Time, Networking (Attending Social or Professional Events), Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Family Time, Learning new things, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Just Relaxing (Resting), Social Activities, Chatting, Music",3,3,3,4,2,4,3,3,3,3,3,3,4,1,3,4,5,3,Yes,I want to be satisfied!
10/20/2023 13:15:05,28,Male,Single,Nuclear,4,Graduate,Private Sector,3-6 lakh,1,Partner,"Refresh Mood, Quality Time (for some enjoyment), Privacy (just your alone time), Moral Support (encouragement that you give to somebody who is nervous or worried)",1,8,1,1,1,2,1,7,1,1,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Job / Work, Idle Time, Going for Walk (Friends, Family, etc), Family Time, Technolgy (Gadgets, Programming, etc)","Social Media, Family Time, Learning new things, Hangout with friends, Personality Development, Long Drive, Chatting, Music, Go for a walk, Swimming",4,5,2,4,2,3,4,3,2,5,5,3,2,5,3,5,2,2,Yes,To Achieve Dreams and Goals!
10/20/2023 18:20:10,21,Female,Single,Nuclear,5,Graduate,Student,3-6 lakh,1,Alone,Privacy (just your alone time),5,5,1.75,0,0.25,2,3,6.5,1,0.5,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Spiritual Activity, Cooking, Household Chores (Tasks such as cleaning, washing to be done regularly at home)","Social Media, Family Time, Just Relaxing (Resting)",4,4,3,5,1,4,3,4,3,3,3,3,1,3,5,5,3,4,Yes,"To make my lifestyle healthy, to be positive, to bhi ambitious and joyful"
10/21/2023 14:23:50,22,Male,Single,Nuclear,2,Graduate,Public Sector(Government sector),3-6 lakh,2,Friends,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Moral Support (encouragement that you give to somebody who is nervous or worried)",2.5,8,2,0.5,0.5,2,1,6,1,0.5,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Studying, Job / Work, Cooking, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap, Review Goals, Family Time, Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Family Time, Learning new things, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Just Relaxing (Resting), Chatting, Music, Go for a walk",5,5,4,5,3,3,3,5,3,5,4,5,3,3,2,3,5,4,Yes,"Yes, I want to improve my daily routine and give more value to my health, exercise regularly, maintaining sleep cycle and develop a stronger will power to achieve my life goals."
10/22/2023 11:40:08,25,Female,Single,Nuclear,4,Post Graduate,Private Sector,above 15 lakh,3,Alone,"Refresh Mood, Quality Time (for some enjoyment), Self motivation",2,8,1,0.5,0,1.5,2,8,1,0,"Use Mobile, Reading Newspaper, Watching (T.V. /Reels/Movies), Job / Work, Personal Hygiene, Idle Time, Power Nap, Shopping (Clothes, Electronics, etc), Family Time, Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Learning new things, Hangout with friends, Just Relaxing (Resting)",4,4,3,4,1,3,3,4,4,4,4,4,4,4,4,4,4,4,Yes,Start doing meditation 
10/22/2023 11:40:45,21,Male,Single,Joint,7,Graduate,Student,0-3 lakh,3,Alone,Refresh Mood,2,5,2,0,2,2,3,6,2,3,Use Mobile,Social Media,3,4,4,4,4,4,5,5,5,4,4,4,3,4,2,4,4,4,Yes,"I'm recalibrating my routine to include habits that foster mental wellness, skill acquisition, and fulfillment."
10/22/2023 12:05:55,21,Male,Single,Nuclear,4,Post Graduate,Student,6-9 lakh,2,Friends,Refresh Mood,3,5,3,1,2,2,2,6,1,2,"Use Mobile, Reading Newspaper, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Cooking, Grocery Shopping, Technolgy (Gadgets, Programming, etc)","Games (Mobile or Computer games), Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Chatting, Music",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,Yes,"To improve my thoughts, my expression and my healthy body "
10/22/2023 12:26:46,21,Male,Single,Nuclear,4,Graduate,Student,6-9 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Moral Support (encouragement that you give to somebody who is nervous or worried)",5,2,0,1,1,0.5,3,6,2,2,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Networking (Attending Social or Professional Events), Technolgy (Gadgets, Programming, etc)","Social Media, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Music, Volunteering",1,3,3,3,1,2,2,5,4,5,1,5,3,1,5,3,5,5,Yes,i feel like i m mostly travelling throughout the day almost 5 hours ...i want to reduce this time and to utilize it in my self growth and also want improve my sleeping routine
10/22/2023 12:44:50,27,Female,Single,Joint,5,"Professional course (Diploma, ITI, etc.)",Free-lancing,0-3 lakh,2,Friends,"Refresh Mood, Reduce Anxiety",1,4,1,1,0.5,1,3,7,2,2,"Use Mobile, Watching (T.V. /Reels/Movies)","Social Media, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Long Drive",3,4,5,4,4,3,3,5,4,4,4,4,4,4,4,5,4,4,Yes,because I want to stay away from social media
10/22/2023 13:41:13,20,Male,Single,Joint,7,Graduate,Student,3-6 lakh,3,Family,"Refresh Mood, Quality Time (for some enjoyment)",2,4,2,0.5,0.5,1,1,8,2,2,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Idle Time","Social Media, Long Drive",3,5,4,5,1,4,5,4,4,5,3,3,4,4,1,3,3,3,Yes,To make my life good!
10/22/2023 14:27:21,23,Male,Single,Nuclear,4,Graduate,Student,0-3 lakh,1,Family,"Refresh Mood, Privacy (just your alone time), Self motivation",0.75,3,0.25,1,0.5,1.75,1,8,2,4,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Cooking, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Family Time, Technolgy (Gadgets, Programming, etc)","Social Media, Reading Books, Playing Outdoor games, Long Drive, Swimming",4,4,3,2,1,4,4,3,1,2,2,3,3,2,4,4,5,4,Yes,"Yes , you can feel more fulfilled as you start achieving your goals. And bettering yourself can help you in every aspect of life."
10/22/2023 15:33:07,16,Female,Single,Nuclear,4,SSC,Student,0-3 lakh,1,Family,"Refresh Mood, Reduce Anxiety",0.5,4,2,0.25,0,1,3,7,3,3,"Use Mobile, Watching (T.V. /Reels/Movies), Studying, Cooking, Power Nap, Gardening","Social Media, Sleeping, Family Time, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Just Relaxing (Resting), Part time work, Music",3,2,1,2,2,2,3,2,2,2,1,4,2,2,2,2,2,3,Yes,I have to improve ny routine because I'm too lazy for doing my study and keeping health care
10/22/2023 15:34:03,19,Male,Single,Nuclear,3,HSC,Private Sector,3-6 lakh,2,Friends,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment)",4,8,1,0.5,1,1,2,6,1,1,"Use Mobile, Travel, Exercise(Gym/Yoga /etc), Job / Work, Going for Walk (Friends, Family, etc)","Social Media, Sleeping, Family Time, Hangout with friends, Games (Mobile or Computer games), Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Personality Development, Music, Go for a walk",4,3,1,2,5,5,4,5,1,5,1,5,5,5,4,5,1,5,No,I'm satisfied with my current progress.
10/22/2023 15:38:11,29,Female,Married,Joint,5,Post Graduate,Private Sector,3-6 lakh,2,Partner,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Privacy (just your alone time), Moral Support (encouragement that you give to somebody who is nervous or worried), Self motivation",4,8,2,0,1,0.5,0,7,0,2,"Use Mobile, Reading Newspaper, Job / Work, Cooking, Household Chores (Tasks such as cleaning, washing to be done regularly at home)","Sleeping, Hangout with friends, Personality Development, Music",3,2,3,2,3,2,3,2,3,4,4,3,3,4,3,3,3,3,Yes,There is nothing new in everyday life.
10/22/2023 16:41:33,27,Male,Single,Nuclear,2,HSC,Free-lancing,3-6 lakh,1,Alone,Self motivation,1,10,1,0,0,2,1,6,1,0,"Use Mobile, Travel, Reading Books, Job / Work, Household Chores (Tasks such as cleaning, washing to be done regularly at home)","Social Media, Sleeping, Learning new things, Hangout with friends, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content)",3,3,3,3,4,3,3,4,3,3,3,2,1,2,2,2,5,5,No,I don’t have sufficient time for it
10/22/2023 18:14:01,22,Male,Single,Joint,7,Graduate,Student,0-3 lakh,3,Family,Moral Support (encouragement that you give to somebody who is nervous or worried),3,5,0.5,0.5,0.5,2,2,6,1,2,"Use Mobile, Reading Newspaper, Studying, Idle Time, Power Nap, Review Goals, Family Time","Social Media, Sleeping",3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,Yes,For a better life 
10/23/2023 12:37:56,22,Male,Single,Nuclear,3,Post Graduate,Student,6-9 lakh,1,Friends,"Quality Time (for some enjoyment), Self motivation",3,5,1,1,1,1,1,8,2,1,"Use Mobile, Travel, ",Social Media,5,5,4,4,1,2,5,5,4,5,2,4,4,3,4,5,5,4,Yes,as everyday comes with new challenge so I prefer doing it 
10/23/2023 13:41:39,21,Male,Single,Nuclear,5,Graduate,Student,6-9 lakh,2,Alone,"Refresh Mood, Quality Time (for some enjoyment), Privacy (just your alone time)",3,3,0,0,1,3,2,5,4,4,Use Mobile,"Social Media, Sleeping",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,No,I ain't interested in itas I my current routine is good for me
10/23/2023 23:32:53,33,Male,Married,Joint,10,Below SSC,Private Sector,0-3 lakh,5,Partner,Privacy (just your alone time),3,9,1,0.5,0,1,1,6,2,1,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Spiritual Activity, Job / Work, Cooking, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Games (Mobile or Computer games), Playing Outdoor games, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Creative Work (Crafting, Photography, etc), Just Relaxing (Resting), Social Activities, Part time work, Go for a walk",5,1,1,1,1,5,5,5,5,5,3,4,2,5,3,3,3,5,No,I thought it's my life and I will make it at on my way only so I think right now it's all right 
